ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
10,Forest,`,380 ,31 ,17 ,16 ,15 ,14 ,8 ,70 ,Most of the laboratory facilities were built on a mountain,which was closed off from the outside world.,`,10,Arrays,Forest,10 ,`,`,1080 ,0 ,11 ,400 ,"As the experiment scaled up more and more,","in order to identify and understand how the Swarm multiplies,",the villages next to the laboratory were to be abandoned.,`,`,`,`,`,`,`,`,`
11,City,`,400 ,32 ,18 ,17 ,16 ,15 ,8 ,74 ,The city flourished thanks to a never-seen-before influx of goods.,`,`,11,Realization,City,11 ,`,`,1080 ,0 ,12 ,400 ,It seemed like there was no limit to the Swarm’s growth.,"While it was unclear if it was their instincts or intentions,",the Swarm always acted as if it was under control.,`,`,`,`,`,`,`,`,`
12,Artificial Ecosystem,`,500 ,0 ,10 ,12 ,15 ,18 ,20 ,75 ,A place where experience and knowledge is realized,`,`,12,Persistence,Boundary,12 ,`,`,1800 ,0 ,13 ,500 ,The attempt to stabilize the situation was successful.,"But since they were still necessary,",they were not wiped out.,`,`,`,`,`,`,`,`,`
13,Depths,`,400 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,The experiment must continue.,`,`,13,Research Success,Depths,13 ,`,`,1500 ,0 ,14 ,500 ,The products of swarm evolution discovered through previous research were naturally considered to be for themselves.,`,"However, they did not evolve to kill the enemy in front of them.","Rather, they wanted to form themselves into efficient nutrients and were growing and analyzing homunculi through this.",Just like we studied swarms..,`,`,`,`,And the results came as a harsh ordeal for humanity.,`,`
14,Terra,`,400 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,A new era is approaching.,`,`,14,The Golden Age,Terra,14 ,`,`,1500 ,0 ,15 ,500 ,After centuries of war against the Demon King came to an end @ we believed that [Utopia] would finally arrive.,`,"However, the tragedies of the past, once a matter of life and death, had fallen into mere amusement @ and the world fell into corruption through pleasure.",`,From that chaos were born the horrifying creatures: [Homunculus] and [Swarm].,But the experiments did not stop. @ We had discovered new possibilities from those monsters..,`,【The hope that fear could be resurrected once more.】,`,`,`,`
15,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,15,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
16,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,16,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
17,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,17,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
18,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,18,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
19,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,19,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
20,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,20,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
21,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,21,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
22,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,22,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
23,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,23,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
24,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,24,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
25,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,25,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
26,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,26,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
27,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,27,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
28,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,28,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
29,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,29,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
30,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,30,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
31,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,31,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
32,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,32,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
33,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,33,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
34,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,34,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
35,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,35,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
36,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,36,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
37,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,37,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
38,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,38,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
39,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,39,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
40,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,40,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
41,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,41,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
42,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,42,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
43,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,43,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
44,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,44,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
45,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,45,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
46,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,46,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
47,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,47,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
48,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,48,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
49,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,49,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
50,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,50,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
51,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,51,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
52,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,52,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
53,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,53,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
54,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,54,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
55,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,55,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
56,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,56,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
57,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,57,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
58,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,58,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
59,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,59,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
60,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,60,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
61,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,61,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
62,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,62,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
63,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,63,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
64,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,64,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
65,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,65,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
66,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,66,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
67,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,67,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
68,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,68,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
69,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,69,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
70,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,70,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
71,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,71,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
72,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,72,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
73,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,73,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
74,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,74,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
75,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,75,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
76,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,76,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
77,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,77,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
78,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,78,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
79,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,79,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
80,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,80,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
81,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,81,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
82,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,82,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
83,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,83,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
84,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,84,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
85,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,85,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
86,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,86,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
87,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,87,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
88,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,88,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
89,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,89,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
90,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,90,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
91,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,91,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
92,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,92,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
93,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,93,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
94,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,94,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
95,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,95,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
96,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,96,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
97,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,97,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
98,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,98,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
99,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,99,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
100,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,100,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
101,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,101,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
102,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,102,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
103,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,103,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
104,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,104,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
105,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,105,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
106,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,106,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
107,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,107,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
108,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,108,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
109,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,109,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
110,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,110,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
111,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,111,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
112,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,112,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
113,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,113,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
114,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,114,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
115,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,115,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
116,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,116,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
117,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,117,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
118,`,`,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,`,`,`,118,`,`,0 ,`,`,0 ,0 ,0 ,0 ,`,`,`,`,`,`,`,`,`,`,`,`
